address	job	company	blood_group	ssn	station_ID	current_latitude	current_longitude
"80066 Matthew Shores Apt. 456
Smithview, MH 71969"		Peterson PLC	B+	802-73-8915	210	82.7744035	-141.91941
	Florist	Hölzenbecher GmbH	AB-	142-94-1458	514	-87.3082	36.579543
"Ortwin-Dietz-Platz 217
21495 Gera"		Wieloch	B-	332-19-2425	713	-79.478773	113.850687
"Vila de da Rosa, 425
Horto
97636802 Freitas / AL"	Engenheiro de horticultura	Cavalcanti Silveira e Filhos	B-	95481370620	618	-25.1508315	-132.27443
"Favela de Carvalho, 17
Paquetá
62292062 Rodrigues de da Paz / MT"		Macedo - EI	A+	72905643838	630	-65.942248	5.137324
"Vicolo Ettore, 1 Appartamento 45
86019, Vinchiaturo (CB)"		Ricci e figli	B+	MZZRMI81R09G293D	246	66.231385	42.686933
"Erika-Atzler-Allee 529
09784 Nordhausen"		Mitschke Henk KG	O+	526-78-2312	28	55.9856935	12.237383
"Wellerstr. 208
85568 Hildesheim"		Renner Aumann GmbH & Co. KGaA	AB+	384-01-0166	155	79.2737775	-89.107311
"Parque Araújo, 7
Conjunto Lagoa
03347962 Siqueira / AL"		das Neves S/A	O+	82053619759	550	62.085152	-127.461183
	Pathologist	Hawkins LLC	B+	223-08-3152	31	-5.266129	94.176308
	Forstwirt	Koch II Schmidt KG	A-	936-87-2257	38	-23.9121595	-72.941074
"Viale Sante, 657
14037, Portacomaro (AT)"	Agricultural engineer	Chigi, Franscini e Aldobrandi s.r.l.	O+	CHRCLD13L49F193E	518	35.3580975	70.011457
		Black-Davis	B-	859-03-2824	493	-30.812053	-6.770103
鳥取県匝瑳市上高野23丁目10番2号		株式会社阿部保険	O+	089-30-6247	449	-8.7972535	73.183771
	Beamter	Hein GmbH & Co. OHG	A-	054-20-2204	778	-75.5566395	132.725146
"4636 Aaron Rapid
West Ambermouth, FM 83261"		Garcia, Hoffman and Melton	B-	253-55-9276	519	50.143935	22.085607
"Pátio de Monteiro, 36
Vila Jardim Leblon
08914223 Sales de Goiás / GO"	Limpador de vidros	Melo S.A.	B+	63498025198	596	-83.701013	-119.412318
"Pergandeallee 1-9
10128 Kassel"	Bäcker	Seifert Ackermann Stiftung & Co. KGaA	B-	149-64-0526	82		
"Esplanada Vasconcelos, 40
Colégio Batista
21639-204 Caldeira / MA"	Terapeuta ocupacional	Dias Aragão e Filhos	A+	01254983651	242	17.1710765	121.524567
"Vicolo Flavia, 13 Appartamento 83
45014, Donada (RO)"		Cugia-Rossi s.r.l.	A+	BLLSNR12P14H528W	198		
新潟県印旛郡本埜村土呂部25丁目27番15号 氏家新田コーポ505		藤原運輸有限会社	AB-	303-61-6510	719	-8.6406585	62.910266
		Li, Cobb and Chandler	B+	382-40-5399	199	-40.116584	128.804245
"Viale Pagliaro, 3
08036, Ortueri (NU)"	Toxicologist	Flaiano s.r.l.	A-	CMPNNI09P30G770F	779	-86.740564	1.755321
"82833 Vang Path Suite 574
Sanchezfurt, IA 85482"		Mercer-Scott	AB-	034-46-4449	229	41.0488385	-28.55372
"Incrocio Lara, 10 Appartamento 85
19018, Corniglia (SP)"	Development worker, community	Pavarotti, Cicilia e Ziani s.r.l.	AB-	VNTGLN56E45D411O	367	-72.739464	-96.310597
		Schomber	B+	939-49-4413	788	2.905234	-166.804327
"92938 Sutton Isle Suite 495
Nicholasfort, DE 03635"		Kidd Inc	A+	333-94-3606	469	47.54399	124.072644
"Piazza Villarosa, 93 Appartamento 37
61038, Orciano Di Pesaro (PU)"	Engineer, agricultural	Casagrande, Bonaventura e Trussardi Group	O+	MCNSNT49D44D208G	363	75.656982	-91.059695
埼玉県西多摩郡瑞穂町花島26丁目2番10号		村上運輸合同会社	O-	088-08-6173	21	10.451716	128.740246
"Estrada de Novaes, 6
Mirtes
22928033 Rocha / GO"		Nascimento	B+	53467819273	209	-6.1226345	-37.892269
"Manfred-Hölzenbecher-Gasse 45-30
40772 Mühlhausen"		Kreusel Wagner KGaA	B-	879-54-9690	29	39.511539	103.644421
"Incrocio Emma, 7 Appartamento 8
46018, Breda Cisoni (MN)"	Furniture conservator/restorer	Stoppani, Rienzo e Alfieri s.r.l.	B+	PCLMRA55H66B579X	774	-52.9851055	-119.902322
		株式会社前田水産	A-	464-69-1442	225	72.1388015	-132.744863
"42045 Kim Lodge Apt. 507
Pennystad, VI 23271"	Geophysicist/field seismologist	Cohen Group	O+	196-20-4764	700	-60.912754	-91.296507
"903 Guzman Landing
East Alexishaven, OK 26187"		Smith, Fox and Hall	A-	023-19-1725	37	16.860186	-89.598636
"Eckhard-Caspar-Weg 860
50278 Regen"		Jüttner Trupp AG & Co. OHG	A+	713-16-9058	394	-88.6517435	-115.630005
"98566 Isaiah Harbor
Port Jeffrey, NJ 53878"		Brown, Bennett and Smith	AB-	212-92-2528	142	36.237843	18.479739
"59236 Hill Cove Suite 801
Russellview, NY 25397"		Sanchez Inc	O+	793-88-9273	611	29.8205765	-114.462611
	Ferreiro	Nunes - ME	AB+	61398072478	13	48.7759655	99.328636
神奈川県北区箭坪4丁目24番10号	音楽家	株式会社山下銀行	B-	822-99-9237	313	-20.4761755	79.944937
		合同会社伊藤保険	AB-	192-54-8116	229	-39.9294385	-82.673488
秋田県横浜市青葉区氏家22丁目27番4号 シャルム柿木沢545		遠藤保険合同会社	AB-	458-14-4563	718	45.0131105	138.007959
"8311 Jenkins Spurs
South Jennifertown, IA 64588"	Engineer, materials	Ramos Inc	B-	691-03-2684	599	-79.163622	-141.096407
"Viale Barcella, 449 Appartamento 1
20017, Rho (MI)"		Mazzocchi-Gramsci Group	O+	RSSPLT44P14F795Q	698	46.387072	53.42792
		Aragão S.A.	AB+	49671853048	252	10.4995735	-108.584372
"Patricia-Caspar-Platz 5/5
95937 Oranienburg"		Barth Kuhl Stiftung & Co. KG	AB-	082-13-4896	565	-55.946504	-59.421341
"1345 Kevin Walk
Karenstad, PR 30096"	Contracting civil engineer	Nelson-Macdonald	B+	208-90-5896	472	76.526518	91.804337
"Seidelweg 25-56
09508 Uelzen"		Schomber	A-	999-65-6127	760	-35.2489375	-119.618441
		山口農林株式会社	AB-	224-26-4143	133	84.0469455	107.172681
"174 Francisco Port
North Sethburgh, DE 19755"		Edwards-Rosales	AB+	327-25-3175	192	10.953945	78.358639
石川県大田区湯宮14丁目11番17号 コーポ千塚306		合同会社鈴木電気	B+	682-46-5120	197	-23.767759	-1.609731
"Strada Salvatore, 254
15062, Donna (AL)"		Trombetta-Nicolini SPA	AB-	VLTLCU01D30E354F	309	-57.159749	179.709968
"Avenida Vargas, 116
Campo Alegre
15427470 Camargo / AP"		Barbosa S.A.	A-	23805641753	402	-33.0434565	22.511639
"Rua Brito, 19
Mangabeiras
80916-559 das Neves / SP"		Pastor	O-	13902546743	490	12.56689	-163.548094
熊本県足立区上野桜木7丁目24番18号 隼町クレスト443	公認会計士	長谷川建設合同会社	O+	136-58-7501	623	-22.781978	-56.94536
"Annegrete-Jähn-Allee 1-2
48475 Rathenow"		Dehmel Kensy KG	O-	077-12-6865	126	-78.61499	84.836918
"Conjunto de Ribeiro, 65
Vila Santo Antônio
45135-447 Abreu do Amparo / AM"		Porto	A+	27356091461	26	-22.8953235	73.30715
		株式会社松本保険	B-	884-81-2148	29	0.9331	13.58994
"Viale Giustino, 17
95024, Pozzillo (CT)"		Interiano Group	B-	MNCMRZ55M53C816K	260	-35.317287	109.316556
"Hans-Joachim-Freudenberger-Straße 3178
31608 Ochsenfurt"	Krankenschwester	Schwital	O-	215-91-3619	417	-43.9231775	-114.519802
山梨県小金井市松浦町21丁目5番20号 一ツ橋シティ564	ゲームクリエイター	中村建設合同会社	A+	754-85-1927	150	41.640007	-109.896357
"Trecho Alves, 992
Barreiro
12939473 Cassiano das Flores / GO"		Mendes	B+	96724358000	446	22.7942795	-104.446776
		株式会社森情報	O+	693-75-4421	311	-10.355424	164.652908
"22390 Fox Rest Suite 578
Jessicaview, CT 90479"		Nelson-Beltran	AB+	441-40-2094	423	-40.262163	-7.454989
"Conjunto de Azevedo
Fazendinha
19482738 Duarte de Casa Grande / RO"		Monteiro Ltda.	B+	23164897022	652	-9.228659	85.102785
"Chácara de Nascimento, 190
Jardim Dos Comerciarios
26970095 Pires / PR"		Correia Monteiro S.A.	O+	51864237007	89		
福島県大網白里市松石22丁目17番16号 卯の里コーポ321	ゲームクリエイター	合同会社遠藤銀行	A+	072-33-8473	284	10.170478	44.518455
"Andrey-Speer-Allee 78
20021 Eilenburg"	Erzieher	Meyer	B+	891-44-8225	301	52.351935	-30.785383
"Pátio Martins, 11
Pilar
33637-305 Pereira / RN"	Produtor fonográfico	Sousa	B+	19037685277	272	50.234306	51.087461
"Junckenplatz 35/19
40206 Marienberg"	Chemikant	Neuschäfer AG	O-	265-36-4084	159	56.0663205	141.569515
"8828 Mark Mill Suite 035
Maryshire, TX 47371"		Myers Ltd	AB+	475-34-1278	802	-14.903991	-97.104029
"Via Lara, 4
87027, Paola Marina (CS)"		Farinelli-Legnante Group	O-	BRDRND87B47L328U	771	-46.970826	-105.457664
		Henry Inc	AB+	050-49-5672	649	-71.7356895	-132.943531
福岡県横浜市港南区大中15丁目15番13号	調理師	合同会社石川農林	B+	226-67-6155	795	-87.441004	-92.94961
"Marko-Gute-Ring 7-7
26719 Hechingen"		Klapp GmbH	AB-	153-82-2905	466	44.261013	168.916778
東京都調布市西神田5丁目18番12号 コーポ明石町705		有限会社近藤ガス	AB+	720-59-8385	629	47.016393	-160.59097
"685 Mendez Squares Suite 252
Carrhaven, TN 75870"		Matthews, Shea and Kennedy	O-	341-46-8238	398	-2.1875265	-20.235558
"Quadra Maria Liz Farias, 444
João Pinheiro
75498-809 Costa / RN"	Pneumologista	Fonseca - EI	O+	84527361007	651	-26.31952	178.418725
"Saban-Pieper-Gasse 84
62870 Wolgast"		Wieloch GmbH & Co. KG	AB+	693-47-0753	317	-82.189516	-138.864608
"Vicolo Fioravanti, 5
53036, Poggibonsi (SI)"		Jilani e figli	O+	BCCDNI00P25F764Q	119	35.769423	65.529174
		Margraf KGaA	A+	043-03-7640	53	46.7617255	149.579132
		Praga-Basadonna SPA	AB+	PCCBRC92B16C673N	188	-15.773385	-5.133547
"Vicolo Modiano, 25
04027, Le Forna (LT)"	Scientist, research (maths)	Campano-Ginesio s.r.l.	A-	TMMCLD28M12B779G	754	-41.0093595	163.072131
"Contrada Ronaldo, 58 Appartamento 72
32034, Pedavena (BL)"		Adinolfi, Innocenti e Maderna s.r.l.	O+	BGNGRL13L20H901L	442	-81.200905	-113.154028
"Esplanada Antony Costa, 52
Penha
20563363 Alves Verde / ES"		Guerra S.A.	AB-	18706345271	359	49.494857	-11.339362
"Sara-Speer-Straße 99/86
72759 Bad Liebenwerda"		Meyer	B+	152-04-8452	181	-11.3558285	32.612042
岐阜県千代田区方京11丁目2番7号		合同会社渡辺農林	O-	250-10-8556	587		
"Borgo Orlando, 0
34128, Trieste (TS)"		Mercati, Guarneri e Borromeo Group	O-	BZZNTT87P22C128X	327	8.6570905	-168.634523
"Vassilios-Bauer-Allee 67
04540 Dinkelsbühl"		Beyer	AB+	568-13-4370	517	-29.9683715	64.316719
"Hövelweg 11
85237 Finsterwalde"	Erzieher	Christoph GmbH	O-	444-16-5879	78	0.442629	-83.156607
茨城県調布市白金台15丁目20番13号		株式会社井上建設	O-	226-04-4448	39	67.234757	-23.579143
"Colônia de da Rocha, 3
Aarão Reis
85116639 Machado / DF"		da Cunha	A+	96408273122	594	-36.3196285	-11.340078
"111 Gregory Rapids Suite 637
Lesliechester, PW 52877"		Brady, Garcia and Jimenez	B+	615-91-6089	281	1.1533655	-143.667934
"Rädelring 7/7
67006 Halberstadt"		Gierschner	A+	627-47-8568	434	-48.7506165	-49.264407
"466 Tina Loaf
South Cheryl, IL 47730"	Risk analyst	Martinez-Williams	O+	519-72-9190	72	12.3635135	-3.897391
		Williams LLC	B-	193-09-1008	145	-33.0972905	-11.233626
"Slawomir-Weinhage-Allee 2/5
75992 Bad Kissingen"		Jäntsch	B-	956-81-2012	550	79.585924	30.16407
"Schmiedtallee 80
69541 Gräfenhainichen"		Nerger	A+	699-68-4155	384		
	Mensageiro	Barros	B-	39745108693	32	-43.255112	-96.40253
"Canale Flora, 67 Piano 2
80071, Anacapri (NA)"		Cuzzocrea-Fantozzi s.r.l.	O+	NRBGNI77A66E878K	58	-3.422929	-99.830826
"Weinhageweg 6144
38288 Großenhain"		Fritsch KG	AB+	426-21-5302	362	-55.6129855	-46.053157
"Vicolo Leonardo, 49
22073, Molinetto (CO)"		Bramante e figli	O-	CRDMRL64T19F517V	167	-8.762657	149.050555
"Via Ubaldo, 711 Piano 5
26857, Salerano Sul Lambro (LO)"		Tamburello-Zola s.r.l.	O+	BRMPMN53B48C709E	325	-0.9407805	151.321413
神奈川県西多摩郡日の出町下吉羽8丁目26番7号		株式会社松本印刷	A+	727-12-2958	566	-80.415268	24.651389
"03198 Sara Corner Apt. 581
East Mary, FL 37334"		Brown, Graves and Nelson	O-	319-36-8948	793	-23.7839055	-43.881631
"Via Bernardini, 66
45039, Stienta (RO)"		Mattarella-Nicolini s.r.l.	B+	MCCFST40S42G808F	198	0.9992605	127.30783
愛知県横浜市旭区柿木沢32丁目24番4号 コート藤金939		前田情報株式会社	A-	653-94-1578	718	-61.461741	-115.750177
"88983 Anderson Unions Apt. 787
New Bryan, MI 92364"		Lopez Inc	AB+	338-33-1097	38	-57.911589	128.643475
"Vila Mathias Silva, 434
Jardim Montanhês
52695662 da Conceição / RN"		Vargas	AB-	07642853947	698	-81.590723	-30.062389
"Fazenda de Marques, 21
São Benedito
56310849 Rezende de Ferreira / PR"		Sá	B-	61304758966	277	-86.2789605	-176.665925
"Klemmstr. 7-5
87618 Regensburg"		Hamann Süßebier Stiftung & Co. KG	B-	729-72-2200	285	-73.704595	-158.145078
"Incrocio Carosone, 26
43022, Basilicagoiano (PR)"		Seddio-Rienzo Group	A+	BNCPRS15D60A972H	650	53.144323	164.893498
"Reisingring 9827
09139 Peine"		Wulff GmbH	B-	244-99-3554	415	-54.3386005	124.030977
"Wagnerallee 31-76
13905 Neubrandenburg"		Jessel	O+	608-94-3248	84	-63.071552	-157.029479
"Viale Sandro, 60 Appartamento 15
24023, Clusone (BG)"		Chigi e figli	O+	MMNMRS41R06I827L	552	11.989952	151.65934
"Colônia de Mendes, 94
Vila Nova Cachoeirinha 3ª Seção
65552471 Fernandes / CE"	Panificador/Padeiro	Monteiro	O+	03892541698	792	-84.586852	-111.548059
"0233 Erin Lake Suite 705
Lake Stacy, FL 10928"	Brewing technologist	Henderson-Campbell	AB-	135-16-6527	722	-64.3359565	-109.13388
"Borgo Paltrinieri, 90 Piano 0
63855, Montefalcone Appennino (FM)"		Borromeo SPA	AB-	NCLLFD81H67C740H	152	16.2019835	-149.387162
	Optician, dispensing	Porcellato-Gagliano s.r.l.	B-	SRLNZE47D58F134H	310	28.2263465	153.494923
鹿児島県羽村市日本堤32丁目1番14号		株式会社田中ガス	A-	439-88-1411	466	-35.5779265	-107.730802
"USNS Wheeler
FPO AE 72734"	Music tutor	Webster and Sons	A+	239-24-7204	54	83.7096355	-20.152368
"1232 Judy Squares
East Melindaview, NC 33095"		Burton, Williams and Austin	B+	226-11-8386	282	-23.0934945	20.959871
"Canale Fabbri, 1
88818, Pallagorio (KR)"		Taliercio, Balbo e Satta s.r.l.	O-	TRSGNE79B04L707X	478	-71.833199	-18.79579
"USNV Terrell
FPO AE 09620"		Flynn, Wong and Cook	AB-	371-51-6591	259	40.00527	-30.68042
"Via Vinicius Borges, 4
João Alfredo
93415-705 Souza / RJ"		Souza Cardoso S.A.	B+	34659087166	259	-52.40475	-51.023834
"Madeleine-Schenk-Weg 9753
40526 Mellrichstadt"		Jessel	A+	188-93-7353	473	-76.2593885	-170.359831
"Borgo Rosselli, 24 Appartamento 30
24027, Nembro (BG)"		Bodoni-Vespa e figli	O+	NTRGLT58E26F732X	613	39.3202705	118.53903
岐阜県大網白里市上高野31丁目15番16号		株式会社橋本印刷	A+	223-60-3507	25	59.5611395	111.883505
		Clark-Hendrix	B+	630-63-6299	104	16.4215055	-52.856233
"Piazza Donà, 164 Piano 3
67056, Luco Dei Marsi (AQ)"		Fabrizi, Cardano e Broggini SPA	AB-	SCLRMN85D47A930N	293	-76.9080985	26.038219
"Via Omma, 17
46012, Bozzolo (MN)"		Galuppi SPA	A-	GNSPRR49R56H787T	536	-17.3582155	158.841126
"Lina-Wohlgemut-Ring 6/8
37678 Steinfurt"	Fleischer	Hölzenbecher Henk GmbH & Co. KG	AB+	383-18-1138	330	39.987697	-57.534049
"Via Ludovica, 3 Appartamento 53
13888, Ceresane (BI)"		Biagi e figli	B-	SFRFDG57S68A281J	613	-27.2740155	-146.263776
		Kade AG	AB+	649-54-1573	610	-19.3981065	128.435911
福島県国分寺市筑土八幡町13丁目6番16号 ハイツ中小来川151		有限会社藤田印刷	B+	830-78-3237	559	-42.5215235	172.91759
		Bertoli SPA	O+	SLVRMN55B12G233W	169	23.2855755	2.40681
		Grifeo Group	AB+	BRGCRL97C31G565X	200	21.739315	71.100539
		Davidson, Acosta and Mayo	O-	128-95-4383	203	-10.4169245	-164.544836
広島県印旛郡酒々井町柿木沢42丁目3番18号		中村保険有限会社	A+	170-94-5925	76	62.316564	110.939881
"Viela Cunha
Serra
51598-852 Melo da Mata / RO"	Historiador	Pastor	A+	48173209588	644	-29.92481	112.888871
"44918 Bailey Flats
West Stephanieport, MA 57324"	Chartered loss adjuster	Moore, Hill and Dillon	B+	116-93-4814	700		
"1398 Williams Street
Mitchellhaven, DC 44194"	Pathologist	Davis LLC	B+	852-67-5284	147	-5.902497	-2.538624
"Via Pavanello, 94 Appartamento 50
61044, Cantiano (PU)"	Financial planner	Nadi SPA	B+	MLCSLT06A49B788X	457	13.5549785	-9.38609
		山本銀行株式会社	AB-	166-73-8993	513	49.9603745	75.730924
"Via Donna, 53 Appartamento 44
73025, Martano (LE)"		Marconi e figli	AB-	CLBGSN95H61I930Z	274	86.7019925	-115.409587
愛知県八千代市外神田37丁目4番18号 コート虎ノ門082	運転士	株式会社渡辺銀行	AB+	160-52-7891	530	-54.8821945	123.137746
"0330 Tracy Walk
Saraville, UT 74363"	Surveyor, building control	Mann, Terry and Mitchell	AB+	204-36-3954	249	45.175876	-43.39332
三重県八千代市鍛冶ケ沢2丁目11番7号		有限会社山崎印刷	B-	700-81-8498	581	-30.5585025	-8.790656
"07822 Walker Radial
Port Julietown, AZ 52017"	Probation officer	Nelson and Sons	A+	484-27-6418	302	-8.2855625	2.072262
"Núcleo Ana Casa Grande, 9
Novo Ouro Preto
79327665 Moreira de da Mata / MT"		da Mota - EI	O+	56193048766	91	76.965906	163.898726
		Walker LLC	AB-	244-29-2600	72	-59.2402005	115.495908
鹿児島県清瀬市西関宿36丁目12番1号 戸島ハイツ802	漫画家	合同会社鈴木ガス	A-	776-57-4948	413	-41.8188775	99.642895
"Hoffmannallee 31-34
66425 Soest"		Hövel AG	B-	131-09-9937	636	89.5527395	72.318099
"Eberhardtstr. 15/23
88721 Eichstätt"	Mathematiker	Stroh	O-	211-41-9697	177	47.436935	124.53957
"USS Yang
FPO AP 46091"		Zavala-Stanton	AB+	324-05-4900	387	49.7146115	-138.967121
"22233 Derek Rue
Evansport, LA 86842"		Johnson-Schultz	AB+	862-93-6804	461	-65.737998	19.320499
"Condomínio Gustavo Azevedo, 1
Paulo Vi
27272-555 Leão / AP"		da Rosa	B-	60743519884	617	-33.9362715	-85.003821
"Via Berenice, 893 Appartamento 7
22069, Rovellasca (CO)"		Tamburello Group	A-	PTRMRA69L24H561L	422	2.8388235	-87.373516
		Gröttner	AB+	586-31-4429	688	22.408218	-150.593478
"Trecho Casa Grande, 15
Vila Formosa
51630443 da Luz das Flores / GO"		Jesus Martins S.A.	A-	47619803548	476	47.286148	-176.975056
"Canale Matilda, 18 Piano 3
31057, Sant'Elena (TV)"	Optometrist	Murri-Toninelli e figli	AB+	RSSGNL65B41D141C	249	-65.955574	176.407515
"2191 Michael Trail Apt. 784
West Tinastad, WI 03908"		Farmer-Martinez	A+	788-04-1278	113	43.6999375	-54.760096
"Largo Dias, 6
Buraco Quente
35207-034 Pinto dos Dourados / RJ"	Cantor	Correia - EI	AB+	42836570180	245	-48.1388105	-109.873907
"Hartmannplatz 2
68280 Bamberg"		Schaaf	A+	803-43-7058	312	44.5816835	-121.286175
"Martha-Schuchhardt-Straße 8
45243 Burgdorf"		Hübel Junck GbR	O-	098-46-3244	181	2.9226835	160.89902
"Lago Rael Vargas, 52
Pedreira Padro Lopes
53912581 Vieira das Flores / RS"	Comissário de bordo	Viana	AB-	86532107417	277	-88.098769	-122.721456
"179 Brendan Path Suite 222
Perryport, OH 25671"		Henry Ltd	B-	322-39-1511	740	-38.3661845	157.362137
茨城県横浜市港北区土呂部38丁目12番6号 コート前弥六584		小林食品合同会社	O+	704-59-3240	53	-22.605082	-78.363203
"Praia da Mota, 8
Vila Havaí
15357840 Brito / AL"	Lavador de veículos	Viana	B+	60493825142	238	67.284889	38.386566
"Unit 0417 Box 0211
DPO AA 26526"	Scientist, audiological	Krause, Smith and Evans	B+	684-45-8044	599	-10.905144	-111.052939
	Conservator, museum/gallery	Bean, Pena and Pope	A+	458-27-9901	205	31.3440095	-128.781809
"8071 Mcdaniel Squares
Bennettton, CO 47217"		Johnson-Hawkins	B+	710-94-4857	100	15.2409695	-12.626875
"12308 Myers Curve
Codyburgh, MI 23754"	Learning disability nurse	Morton Group	AB-	201-17-6777	684		
"Unit 4043 Box 3394
DPO AP 40122"		Ward-Tucker	O-	076-42-9767	455	-69.753748	45.033577
"Contrada Chigi, 17
56040, Crespina (PI)"	Data processing manager	Mezzetta, Chigi e Romagnoli s.r.l.	B+	CBBPTZ87S53G966C	521	59.147484	2.385811
"8341 Lopez Drives
Martinville, WV 22271"		Tyler, Cameron and Garner	AB-	745-28-3463	303	30.158732	-156.426923
		Wirth	A+	245-88-7100	505	-40.698588	172.77252
"Rua Vinicius Gomes, 78
Vila Paquetá
25332-481 Pires / ES"		Carvalho Peixoto S.A.	B-	32607854180	78	30.774803	-9.585427
"32348 Timothy Cape
North Juan, FL 20693"	Risk analyst	Walker-Vasquez	O-	032-01-4280	512	-64.0339815	-178.657668
